emp_id,Embedding
10,"0.005610866472125053, 0.08018418401479721, 0.05680635944008827, -0.060510601848363876, -0.02940293774008751, -0.02171771600842476, -0.06934336572885513, -0.038253169506788254, 0.13180337846279144, -0.12172985076904297, 0.27257001399993896, -0.04955077916383743, -0.2958204746246338, -0.020645637065172195, -0.03236187994480133, 0.08210869133472443, -0.1049487441778183, -0.05735969543457031, 0.01830194517970085, -0.11158043891191483, 0.0370907187461853, 0.06861183047294617, 0.06120244413614273, 0.03928351402282715, -0.10345546901226044, -0.4107220470905304, -0.07292357832193375, -0.16355520486831665, -0.03378257155418396, -0.06329015642404556, -0.01998458243906498, 0.06761336326599121, -0.09853807091712952, 0.01608830690383911, 0.04691652953624725, 0.07631261646747589, -0.09137732535600662, -0.049582503736019135, 0.21049043536186218, 0.05466535687446594, -0.07926376163959503, -0.06399263441562653, 0.03336161747574806, 0.24704934656620026, 0.08084303885698318, 0.09626376628875732, 0.04528776556253433, -0.0293117742985487, 0.09671510010957718, -0.2265424132347107, 0.07594159245491028, 0.14537882804870605, 0.07640991359949112, 0.07604973018169403, 0.10916998982429504, -0.14189210534095764, 0.05530783161520958, 0.04855877161026001, -0.22060689330101013, 0.08289405703544617, 0.03391265869140625, -0.08156953752040863, -0.06328968703746796, 0.010093792341649532, 0.2816065847873688, 0.10358214378356934, -0.14115822315216064, -0.04312499612569809, 0.16582736372947693, -0.1585722714662552, -0.05888889357447624, 0.07973989844322205, -0.10311262309551239, -0.20073363184928894, -0.1342347413301468, 0.0760444700717926, 0.3400590419769287, 0.19800682365894318, -0.11585478484630585, 0.020521458238363266, -0.040760885924100876, -0.0393875427544117, 0.09726298600435257, 0.06215272843837738, -0.07241451740264893, 0.011441532522439957, -0.1128779798746109, 0.032604899257421494, 0.13686056435108185, -0.032639916986227036, -0.08036576211452484, 0.2508719265460968, -0.06549455970525742, 0.14360195398330688, 0.05724618211388588, 0.032533057034015656, -0.14912135899066925, -0.01885589212179184, -0.124971404671669, -0.051504574716091156, 0.11579208076000214, -0.09298814088106155, -0.03844701871275902, 0.05495697259902954, -0.16313643753528595, 0.10340183973312378, -0.0673728734254837, -0.053122375160455704, 0.027928994968533516, 0.03855773061513901, -0.12066739797592163, -0.044610098004341125, 0.13598321378231049, -0.26702266931533813, 0.1782723218202591, 0.1267681121826172, 0.069187231361866, 0.18110625445842743, 0.09179550409317017, 0.002464725635945797, 0.03331787511706352, -0.1655215173959732, -0.20290742814540863, -0.13721886277198792, 0.027619220316410065, 0.047023944556713104, 0.04156811907887459, -0.029724588617682457"
5,"-0.07751939445734024, 0.07378315925598145, 0.16070419549942017, 0.0038590808399021626, 0.004218109417706728, -0.0824100449681282, -0.030762923881411552, -0.12853312492370605, 0.10393431037664413, -0.08205161988735199, 0.283051460981369, 0.03111521527171135, -0.23474276065826416, -0.009762122295796871, -0.09058655798435211, 0.11708986759185791, -0.17773641645908356, -0.05721229687333107, -0.08312572538852692, -0.023534078150987625, -0.01932417042553425, 0.07653772830963135, 0.08605271577835083, 0.01778101921081543, -0.12839215993881226, -0.35577598214149475, -0.17633837461471558, -0.09129786491394043, 0.05349503457546234, -0.07816469669342041, 0.0070885526947677135, 0.03326140716671944, -0.14337727427482605, -0.03719703108072281, 0.035626836121082306, 0.013643011450767517, -0.05751410499215126, -0.0849771574139595, 0.19629576802253723, 0.0948578342795372, -0.12457780539989471, 0.03309623897075653, 0.08581306040287018, 0.35032808780670166, 0.20391437411308289, 0.06330999732017517, 0.05849388986825943, -0.11169344931840897, 0.04931575804948807, -0.23902356624603271, 0.10104881227016449, 0.11022647470235825, 0.10951981693506241, 0.09954170882701874, 0.14406976103782654, -0.1554466336965561, 0.0721670389175415, 0.10585042834281921, -0.18950986862182617, 0.0938689187169075, 0.05789228901267052, 0.06688258051872253, 0.08206522464752197, 0.07512509822845459, 0.1721677929162979, 0.03914198279380798, -0.1490093320608139, -0.053295284509658813, 0.0992027148604393, -0.17518752813339233, -0.02322649210691452, 0.055396147072315216, -0.09185460209846497, -0.20713084936141968, -0.27143096923828125, 0.016973361372947693, 0.4401204586029053, 0.17964933812618256, -0.1624389886856079, 0.031226160004734993, -0.1316773146390915, -0.13805550336837769, 0.06415166705846786, 0.044228896498680115, -0.12466217577457428, -0.01691635325551033, -0.12775634229183197, 0.027133826166391373, 0.19721421599388123, 0.06022772938013077, -0.02807282842695713, 0.2680795192718506, -0.006466547027230263, -0.06038624793291092, 0.05164959281682968, 0.06719554215669632, -0.20643575489521027, -0.0027582296170294285, -0.1526554375886917, -0.1035274863243103, -0.003254760056734085, -0.052305951714515686, -0.029843665659427643, 0.10710819065570831, -0.2544489800930023, 0.21942424774169922, 0.029852351173758507, -0.07820219546556473, 0.016485728323459625, 0.0029719755984842777, -0.16274254024028778, 0.019030584022402763, 0.15457013249397278, -0.2744722068309784, 0.15299376845359802, 0.17655782401561737, 0.06398232281208038, 0.1289798766374588, 0.1107475608587265, -0.0030225589871406555, -0.030510423704981804, -0.04054028540849686, -0.09959326684474945, -0.09527189284563065, 0.011481007561087608, -0.06060542166233063, 0.11356095224618912, 0.004830121994018555"
